INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,34.783368,-86.568502,4505
University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,33.50223,-86.80917,11269
Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,32.362609,-86.17401,308
University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,34.722818,-86.63842,5829
Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,32.364317,-86.295677,4740
The University of Alabama,Tuscaloosa,AL,35487-0166,Southern Association of Colleges and Schools Commission on Colleges,33.2144,-87.545766,31005
Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,32.924429,-85.94653,1546
Athens State University,Athens,AL,35611,Southern Association of Colleges and Schools Commission on Colleges,34.805625,-86.96514,2904
Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,32.369939,-86.177351,4142
Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,32.604685,-85.482782,21551
Birmingham Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,33.515453,-86.853636,1346
Chattahoochee Valley Community College,Phenix City,AL,36869,Southern Association of Colleges and Schools Commission on Colleges,32.42391,-85.031485,1566
Concordia College Alabama,Selma,AL,36701,Southern Association of Colleges and Schools Commission on Colleges,32.42443,-87.023531,379
South University-Montgomery,Montgomery,AL,36116,Southern Association of Colleges and Schools Commission on Colleges,32.342684,-86.216488,460
Enterprise State Community College,Enterprise,AL,36330-1300,Southern Association of Colleges and Schools Commission on Colleges,31.297496,-85.836956,1528
James H Faulkner State Community College,Bay Minette,AL,36507-2698,Southern Association of Colleges and Schools Commission on Colleges,30.852045,-87.779758,4372
Faulkner University,Montgomery,AL,36109-3390,Southern Association of Colleges and Schools Commission on Colleges,32.384181,-86.21641,2282
Gadsden State Community College,Gadsden,AL,35903,Southern Association of Colleges and Schools Commission on Colleges,33.991866,-85.991299,4613
New Beginning College of Cosmetology,Albertville,AL,35951,National Accrediting Commission of Career Arts and Sciences,34.27871,-86.196931,91
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,31.316086,-85.46355,4173
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,Southern Association of Colleges and Schools Commission on Colleges,34.07341,-86.781745,4821
George C Wallace State Community College-Selma,Selma,AL,36703-2808,Southern Association of Colleges and Schools Commission on Colleges,32.445611,-87.01324,1383
Herzing University-Birmingham,Birmingham,AL,35209,North Central Association of Colleges and Schools The Higher Learning Commission,33.468105,-86.832299,360
Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,32.350939,-86.285313,1160
Heritage Christian University,Florence,AL,35630-9977,Association for Bibical Higher Educaiton,34.859089,-87.662062,58
J F Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,34.772116,-86.573817,820
Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,33.822128,-85.766644,6625
Jefferson Davis Community College,Brewton,AL,36426,Southern Association of Colleges and Schools Commission on Colleges,31.101995,-87.085829,1036
Jefferson State Community College,Birmingham,AL,35215-3098,Southern Association of Colleges and Schools Commission on Colleges,33.652439,-86.707387,7381
John C Calhoun State Community College,Tanner,AL,35671,Southern Association of Colleges and Schools Commission on Colleges,34.65428,-86.949131,8547
Judson College,Marion,AL,36756,Southern Association of Colleges and Schools Commission on Colleges,32.630526,-87.316127,373
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,33.451673,-86.890234,3003
University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,32.59244,-88.186077,1913
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,Southern Association of Colleges and Schools Commission on Colleges,31.322947,-86.452262,1412
