,business_id,review_count,stars,name,categories,state,city,address,latitude,longitude,business_id,Morning,Afternoon,Night,Late,tmp,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS,dist,total_checkin
3748970,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,ITT Technical Institute-Charlotte South,Charlotte,NC,28217,,35.182074,-80.921103,266.0,4.13306071554,1347
3745991,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Mercy School of Nursing,Charlotte,NC,28203,Accreditation Commission for Education in Nursing,35.132476,-80.904762,49.0,4.30309644616,1347
3749643,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Regina's College of Beauty-Charlotte,Charlotte,NC,28208,,35.23618,-80.88412,89.0,4.71084717981,1347
3745929,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,The Art Institute of Charlotte,Charlotte,NC,28217-4536,Southern Association of Colleges and Schools Commission on Colleges,35.183009,-80.926992,839.0,4.47093711492,1347
3745951,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Central Piedmont Community College,Charlotte,NC,28204,Southern Association of Colleges and Schools Commission on Colleges,35.217774,-80.829796,17922.0,3.1688170731,1347
3745979,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Johnson C Smith University,Charlotte,NC,28216-5398,Southern Association of Colleges and Schools Commission on Colleges,35.243384,-80.854842,1371.0,4.77062283107,1347
3749309,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Charlotte School of Law,Charlotte,NC,28244,,35.22477,-80.843091,,3.48498083339,1347
7485307,2kunuW3W6ztnYKSmdmSmig,18,3.5,Healthy Home Market,"[u'Specialty Food', u'Organic Stores', u'Health Markets', u'Grocery', u'Food']",NC,Charlotte,1816-G Galleria Blvd,35.1374122,-80.7343231,5lDEshkjy0Xmo6FzsfwPHA,70,498,612,167,1,Brightwood College-Charlotte,Charlotte,NC,28212,Accrediting Council for Independent Colleges and Schools,35.17702,-80.752731,306.0,2.92549394205,1347
7481792,2kunuW3W6ztnYKSmdmSmig,18,3.5,Healthy Home Market,"[u'Specialty Food', u'Organic Stores', u'Health Markets', u'Grocery', u'Food']",NC,Charlotte,1816-G Galleria Blvd,35.1374122,-80.7343231,5lDEshkjy0Xmo6FzsfwPHA,70,498,612,167,1,Empire Beauty School-Matthews,Matthews,NC,28105,,35.119797,-80.700592,52.0,2.25996326164,1347
3749160,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Southeastern Institute-Charlotte,Charlotte,NC,28217,Accrediting Commission of Career Schools and Colleges,35.16764,-80.887311,248.0,2.24325149319,1347
3748822,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Johnson & Wales University-Charlotte,Charlotte,NC,28202,New England Association of Schools and Colleges Commission on Institutions of Higher Education,35.23294,-80.8509,2218.0,4.03825156522,1347
